Reception rate,Distance,Transmission,Reception
100.0,3.095635,657,657
100.0,3.058113,658,658
100.0,3.001828,659,659
100.0,3.039351,660,660
100.0,3.058113,661,661
100.0,3.095635,662,662
100.0,3.095635,663,663
100.0,3.095635,664,664
100.0,3.058113,665,665
100.0,3.114397,666,666
100.0,3.058113,667,667
100.0,3.076874,668,668
100.0,3.076874,669,669
100.0,3.095635,670,670
100.0,3.095635,671,671
100.0,3.039351,672,672
100.0,3.058113,673,673
100.0,3.114397,674,674
100.0,3.095635,675,675
100.0,3.058113,676,676
100.0,3.076874,677,677
100.0,3.095635,678,678
100.0,3.039351,679,679
100.0,3.076874,680,680
100.0,3.02059,681,681
100.0,3.114397,682,682
100.0,3.058113,683,683
100.0,3.058113,684,684
100.0,3.058113,685,685
100.0,3.058113,686,686
100.0,3.076874,687,687
100.0,3.076874,688,688
100.0,3.076874,689,689
100.0,3.039351,690,690
100.0,3.058113,691,691
100.0,3.114397,692,692
100.0,3.076874,693,693
100.0,3.058113,694,694
100.0,3.076874,695,695
100.0,3.076874,696,696
100.0,3.058113,697,697
100.0,3.076874,698,698
100.0,3.001828,699,699
100.0,3.095635,700,700
100.0,3.095635,701,701
100.0,3.02059,702,702
100.0,3.039351,703,703
100.0,3.058113,704,704
100.0,3.02059,705,705
100.0,3.095635,706,706
100.0,3.076874,707,707
100.0,3.058113,708,708
100.0,3.058113,709,709
100.0,3.058113,710,710
100.0,3.095635,711,711
100.0,3.114397,712,712
100.0,3.076874,713,713
100.0,3.114397,714,714
100.0,3.076874,715,715
100.0,3.114397,716,716
100.0,3.114397,717,717
100.0,3.039351,718,718
100.0,3.095635,719,719
100.0,3.058113,720,720
100.0,3.095635,721,721
100.0,3.058113,722,722
100.0,3.058113,723,723
100.0,3.076874,724,724
100.0,3.039351,725,725
100.0,3.076874,726,726
100.0,3.076874,727,727
100.0,3.114397,728,728
100.0,3.076874,729,729
100.0,3.114397,730,730
100.0,3.058113,731,731
100.0,3.095635,732,732
100.0,3.076874,733,733
100.0,3.039351,734,734
100.0,3.039351,735,735
100.0,3.058113,736,736
100.0,3.076874,737,737
100.0,3.058113,738,738
100.0,3.076874,739,739
100.0,3.114397,740,740
100.0,3.058113,741,741
100.0,3.039351,742,742
100.0,3.076874,743,743
100.0,3.058113,744,744
100.0,3.039351,745,745
100.0,3.039351,746,746
100.0,3.058113,747,747
100.0,3.095635,748,748
100.0,3.058113,749,749
100.0,3.095635,750,750
100.0,3.076874,751,751
100.0,3.114397,752,752
100.0,3.058113,753,753
100.0,3.076874,754,754
100.0,3.058113,755,755
100.0,3.058113,756,756
100.0,3.076874,757,757
100.0,3.058113,758,758
100.0,3.095635,759,759
100.0,3.076874,760,760
100.0,3.058113,761,761
100.0,3.076874,762,762
100.0,3.058113,763,763
100.0,3.058113,764,764
100.0,3.058113,765,765
100.0,3.058113,766,766
100.0,3.058113,767,767
100.0,3.039351,768,768
100.0,3.058113,769,769
100.0,3.114397,770,770
100.0,3.058113,771,771
100.0,3.076874,772,772
100.0,3.095635,773,773
100.0,3.058113,774,774
100.0,3.058113,775,775
100.0,3.058113,776,776
100.0,3.058113,777,777
100.0,3.076874,778,778
100.0,3.076874,779,779
100.0,3.076874,780,780
100.0,3.058113,781,781
100.0,3.076874,782,782
100.0,3.076874,783,783
100.0,3.058113,784,784
100.0,3.039351,785,785
100.0,3.039351,786,786
100.0,3.058113,787,787
100.0,3.114397,788,788
100.0,3.076874,789,789
100.0,3.02059,790,790
100.0,3.095635,791,791
100.0,3.039351,792,792
100.0,3.039351,793,793
100.0,3.076874,794,794
100.0,3.095635,795,795
100.0,3.076874,796,796
100.0,3.095635,797,797
100.0,3.076874,798,798
100.0,3.114397,799,799
100.0,3.076874,800,800
100.0,3.039351,801,801
100.0,3.076874,802,802
100.0,3.058113,803,803
100.0,3.076874,804,804
100.0,3.076874,805,805
100.0,3.058113,806,806
100.0,3.039351,807,807
100.0,3.095635,808,808
100.0,3.095635,809,809
100.0,3.076874,810,810
100.0,3.095635,811,811
100.0,3.058113,812,812
100.0,3.076874,813,813
100.0,3.058113,814,814
100.0,3.076874,815,815
100.0,3.076874,816,816
100.0,3.058113,817,817
100.0,3.076874,818,818
100.0,3.039351,819,819
100.0,3.058113,820,820
100.0,3.039351,821,821
100.0,3.076874,822,822
100.0,3.058113,823,823
100.0,3.114397,824,824
100.0,3.058113,825,825
100.0,3.058113,826,826
100.0,3.076874,827,827
100.0,3.039351,828,828
100.0,3.039351,829,829
100.0,3.058113,830,830
100.0,3.076874,831,831
100.0,3.076874,832,832
100.0,3.076874,833,833
100.0,3.076874,834,834
100.0,3.076874,835,835
100.0,3.076874,836,836
100.0,3.076874,837,837
100.0,3.058113,838,838
100.0,3.039351,839,839
100.0,3.076874,840,840
100.0,3.058113,841,841
100.0,3.058113,842,842
100.0,3.095635,843,843
100.0,3.076874,844,844
100.0,3.039351,845,845
100.0,3.039351,846,846
100.0,3.039351,847,847
100.0,3.058113,848,848
100.0,3.058113,849,849
100.0,3.076874,850,850
100.0,3.02059,851,851
100.0,3.058113,852,852
100.0,3.02059,853,853
100.0,3.039351,854,854
100.0,3.039351,855,855
