,LOS,NLOS
Mean Error (cm),27.476154040989943,68.34261488210282
Median Error (cm),27.632599999999996,67.98580000000001
Std Dev (cm),7.091446044402918,5.557396542258579
Max Error (cm),48.3433,89.5087
Min Error (cm),7.559399999999997,51.967600000000004
RMSE (cm),28.376533401472525,68.5681971853667
