Reception rate,Distance,Transmission,Reception
99.843887,2.120041,15374,15350
99.843887,2.157564,15375,15351
99.843902,2.138803,15376,15352
99.84391,2.120041,15377,15353
99.843925,2.082518,15378,15354
99.843933,2.10128,15379,15355
99.84394,2.138803,15380,15356
99.843956,2.138803,15381,15357
99.843963,2.138803,15382,15358
99.843971,2.176326,15383,15359
99.843986,2.157564,15384,15360
99.843994,2.120041,15385,15361
99.844001,2.120041,15386,15362
99.844017,2.138803,15387,15363
99.844024,2.138803,15388,15364
99.844032,2.120041,15389,15365
99.844047,2.138803,15390,15366
99.844055,2.138803,15391,15367
99.844062,2.120041,15392,15368
99.84407,2.157564,15393,15369
99.844085,2.138803,15394,15370
99.844093,2.138803,15395,15371
99.8441,2.157564,15396,15372
99.844116,2.120041,15397,15373
99.844131,2.138803,15398,15374
99.844131,2.157564,15399,15375
99.844146,2.157564,15400,15376
99.844154,2.120041,15401,15377
99.844162,2.157564,15402,15378
99.844177,2.120041,15403,15379
99.844184,2.138803,15404,15380
99.844192,2.138803,15405,15381
99.844207,2.120041,15406,15382
99.844215,2.138803,15407,15383
99.84423,2.120041,15408,15384
99.844238,2.138803,15409,15385
99.844245,2.120041,15410,15386
99.844261,2.120041,15411,15387
99.844268,2.138803,15412,15388
99.844276,2.138803,15413,15389
99.844291,2.120041,15414,15390
99.844291,2.120041,15415,15391
99.844306,2.120041,15416,15392
99.844322,2.157564,15417,15393
99.844329,2.10128,15418,15394
99.844337,2.120041,15419,15395
99.844345,2.120041,15420,15396
99.84436,2.120041,15421,15397
99.844368,2.138803,15422,15398
99.844375,2.10128,15423,15399
99.84439,2.157564,15424,15400
99.844398,2.138803,15425,15401
99.844406,2.120041,15426,15402
99.844421,2.10128,15427,15403
99.844429,2.138803,15428,15404
99.844436,2.138803,15429,15405
99.844451,2.138803,15430,15406
99.844459,2.10128,15431,15407
99.844467,2.138803,15432,15408
99.844482,2.157564,15433,15409
99.84449,2.138803,15434,15410
99.844497,2.10128,15435,15411
99.844512,2.138803,15436,15412
99.84452,2.138803,15437,15413
99.844528,2.138803,15438,15414
99.844535,2.138803,15439,15415
99.844551,2.157564,15440,15416
99.844558,2.176326,15441,15417
99.844566,2.157564,15442,15418
99.844581,2.157564,15443,15419
99.844589,2.120041,15444,15420
99.844596,2.138803,15445,15421
99.844612,2.120041,15446,15422
99.844619,2.157564,15447,15423
99.844627,2.120041,15448,15424
99.844642,2.157564,15449,15425
99.84465,2.120041,15450,15426
99.844657,2.120041,15451,15427
99.844673,2.10128,15452,15428
99.84468,2.157564,15453,15429
99.844688,2.138803,15454,15430
99.844703,2.120041,15455,15431
99.844711,2.120041,15456,15432
99.844718,2.157564,15457,15433
99.844726,2.082518,15458,15434
99.844741,2.120041,15459,15435
99.844749,2.138803,15460,15436
99.844757,2.138803,15461,15437
99.844772,2.138803,15462,15438
99.844779,2.138803,15463,15439
99.844787,2.138803,15464,15440
99.844802,2.157564,15465,15441
99.84481,2.120041,15466,15442
99.844818,2.138803,15467,15443
99.844833,2.120041,15468,15444
99.844841,2.138803,15469,15445
99.844848,2.157564,15470,15446
99.844863,2.157564,15471,15447
99.844871,2.157564,15472,15448
99.844879,2.138803,15473,15449
99.844894,2.120041,15474,15450
99.844902,2.120041,15475,15451
99.844909,2.120041,15476,15452
99.844917,2.138803,15477,15453
99.844932,2.138803,15478,15454
99.84494,2.157564,15479,15455
99.844947,2.120041,15480,15456
99.844963,2.138803,15481,15457
99.84497,2.138803,15482,15458
99.844978,2.120041,15483,15459
99.844993,2.138803,15484,15460
99.845001,2.120041,15485,15461
99.845008,2.138803,15486,15462
99.845024,2.157564,15487,15463
99.845031,2.138803,15488,15464
99.845039,2.138803,15489,15465
99.845054,2.138803,15490,15466
99.845062,2.138803,15491,15467
99.845069,2.157564,15492,15468
99.845085,2.138803,15493,15469
99.845092,2.120041,15494,15470
99.8451,2.138803,15495,15471
99.845108,2.10128,15496,15472
99.845123,2.10128,15497,15473
99.84513,2.138803,15498,15474
99.845138,2.10128,15499,15475
99.845153,2.138803,15500,15476
99.845161,2.138803,15501,15477
99.845169,2.120041,15502,15478
99.845184,2.138803,15503,15479
99.845191,2.157564,15504,15480
99.845199,2.138803,15505,15481
99.845214,2.120041,15506,15482
99.845214,2.082518,15507,15483
99.84523,2.157564,15508,15484
99.845245,2.138803,15509,15485
99.845245,2.120041,15510,15486
99.84526,2.138803,15511,15487
99.845275,2.138803,15512,15488
99.845275,2.120041,15513,15489
99.845291,2.157564,15514,15490
99.845298,2.120041,15515,15491
99.845306,2.138803,15516,15492
99.845321,2.120041,15517,15493
99.845329,2.10128,15518,15494
99.845344,2.138803,15519,15495
99.845352,2.138803,15520,15496
99.845359,2.120041,15521,15497
99.845375,2.157564,15522,15498
99.845382,2.120041,15523,15499
99.84539,2.138803,15524,15500
99.845405,2.082518,15525,15501
99.845413,2.120041,15526,15502
99.84542,2.157564,15527,15503
99.845436,2.120041,15528,15504
99.845436,2.138803,15529,15505
99.845451,2.138803,15530,15506
99.845466,2.138803,15531,15507
99.845466,2.176326,15532,15508
99.845481,2.157564,15533,15509
99.845489,2.157564,15534,15510
99.845497,2.138803,15535,15511
99.845512,2.138803,15536,15512
99.84552,2.138803,15537,15513
99.845527,2.120041,15538,15514
99.845542,2.10128,15539,15515
99.84555,2.138803,15540,15516
99.845558,2.120041,15541,15517
99.845573,2.138803,15542,15518
99.845581,2.157564,15543,15519
99.845588,2.157564,15544,15520
99.845596,2.120041,15545,15521
99.845611,2.120041,15546,15522
99.845619,2.10128,15547,15523
99.845626,2.157564,15548,15524
99.845642,2.120041,15549,15525
99.845649,2.120041,15550,15526
99.845657,2.157564,15551,15527
99.845672,2.10128,15552,15528
99.84568,2.176326,15553,15529
99.845687,2.157564,15554,15530
99.845703,2.138803,15555,15531
99.84571,2.138803,15556,15532
99.845718,2.138803,15557,15533
99.845733,2.138803,15558,15534
99.845733,2.138803,15559,15535
99.845748,2.138803,15560,15536
99.845764,2.138803,15561,15537
99.845764,2.157564,15562,15538
99.845779,2.120041,15563,15539
99.845794,2.120041,15564,15540
99.845794,2.082518,15565,15541
99.845809,2.138803,15566,15542
99.845817,2.157564,15567,15543
99.845825,2.138803,15568,15544
99.84584,2.138803,15569,15545
99.845848,2.138803,15570,15546
99.845855,2.138803,15571,15547
99.845871,2.120041,15572,15548
